date,open,high,low,close,volume,R_t1
11/4/11,217.65,218.23,214.3308,216.48,4065800,-0.082363267
10/28/11,206.53,218.4,205.75,217.32,9880400,-0.067918277
10/21/11,236.91,236.9999,230.6,234.78,4572500,-0.158361019
10/14/11,240.87,246.71,240.18,246.71,5923700,-0.206315107
10/7/11,222.48,227.9,218.41,224.74,6784300,-0.19902999
9/30/11,218.19,223,215.21,216.23,6550300,-0.145770707
9/23/11,220.51,224.49,219.061,223.61,6468100,-0.194445687
9/16/11,227.57,240.44,226.74,239.3,11753000,-0.285499373
9/9/11,215.05,216.96,209.75,211.39,4574300,-0.234495482
9/2/11,208.94,210.69,207,210,4232000,-0.199666667
8/26/11,191.24,199.72,189.6,199.27,5310700,-0.138505545
8/19/11,180.29,190,177.55,178.93,7244200,-0.009445034
8/12/11,200.28,204.56,197.21,202.3,5620400,-0.078101829
8/5/11,204.67,207.32,194.84,202.7,10024000,-0.066354218
7/29/11,221.29,225.75,219.51,222.52,5167700,-0.209374438
7/22/11,213.86,217.949,211.11,216.52,3591700,-0.209588029
7/15/11,213.08,214.53,209.29,212.87,4072600,-0.166533565
7/8/11,214.3,218.32,213.25,218.28,3707900,-0.135284955
7/1/11,205.55,210.27,203.61,209.49,4008700,-0.114563941
6/24/11,193.88,194.92,191.35,192.55,3614500,-0.065177876
6/17/11,186.51,187.39,184.64,186.37,6322200,-0.047164243
6/10/11,189.25,190.77,186.28,186.53,3760400,-0.058489251
6/3/11,191.23,193.21,187.62,188.32,4974500,-0.067119796
5/27/11,194.76,196.12,193.5,194.13,2352600,-0.087209602
5/20/11,197.95,199.8,197.24,198.65,3381000,-0.170299522
5/13/11,205.7,206.39,202.36,202.56,4123700,-0.18206951
5/6/11,199.1,199.56,196.56,197.6,4013900,-0.135779352
4/29/11,194.38,196.59,193.78,195.81,6640900,-0.156171799
4/15/11,181,181.78,179.0196,180.01,4272400,-0.060441087
4/8/11,185.26,186.22,182.78,184.71,3726400,-0.108656813
4/1/11,181.58,183.25,178.59,180.13,5684100,-0.136457003
3/25/11,171.64,173.49,170.3,170.98,4293800,-0.101005966
3/18/11,161.19,163.54,160.59,161.82,7442700,-0.006735879
3/11/11,165.5,169.2,164.12,168.07,4609900,-0.117480812
3/4/11,172.62,172.75,169.51,171.67,4924300,-0.170268538
2/25/11,178.95,180.75,177.1,177.24,4191400,-0.216937486
2/18/11,187.54,188.5,185.13,186.5,4178600,-0.320965147
2/11/11,185.5619,189.5,185.37,189.25,4487900,-0.324914135
2/4/11,174,177.19,173.75,175.93,4347800,-0.291252203
1/28/11,171.45,173.71,166.9,171.14,19908200,-0.250204511
